2025-07-29 21:02:49,732 - __main__ - ERROR - Input directory not found: G:\project\life_insurence_query\file_inputs
2025-07-29 21:02:49,733 - __main__ - INFO - Current working directory: G:\project\life_insurence_query
2025-07-29 21:10:56,225 - __main__ - ERROR - Spacy model 'en_core_web_md' not found. Please install it first.
2025-07-29 21:13:30,166 - __main__ - ERROR - Input directory not found: G:\project\life_insurence_query\file_inputs
2025-07-29 21:13:30,167 - __main__ - INFO - Current working directory: G:\project\life_insurence_query
2025-07-29 21:14:40,679 - __main__ - ERROR - Input directory not found: G:\project\life_insurence_query\file_inputs
2025-07-29 21:14:40,679 - __main__ - INFO - Current working directory: G:\project\life_insurence_query
2025-07-29 21:17:28,946 - __main__ - ERROR - Input directory not found: G:\project\file_inputs
2025-07-29 21:17:28,947 - __main__ - INFO - Current working directory: G:\project\life_insurence_query
2025-07-29 21:20:08,949 - __main__ - ERROR - Input directory not found: G:\project\life_insurence_query\file_inputs
2025-07-29 21:20:08,950 - __main__ - INFO - Current working directory: G:\project\life_insurence_query
2025-07-29 21:21:37,143 - __main__ - ERROR - Input directory not found: G:\project\life_insurence_query\file_inputs
2025-07-29 21:21:37,144 - __main__ - INFO - Current working directory: G:\project\life_insurence_query
2025-07-29 21:21:56,686 - __main__ - INFO - 
Starting processing of 5 insurance documents
2025-07-29 21:21:56,861 - __main__ - INFO - Processing document: G:\project\life_insurence_query\file_inputs\BAJHLIP23020V012223.pdf
2025-07-29 21:21:56,914 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,915 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,916 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,916 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,917 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,917 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,917 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,918 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,918 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,919 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,919 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,920 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,920 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,921 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,922 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,923 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,924 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,924 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,925 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,926 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,926 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,928 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,929 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,930 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,930 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,931 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,932 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,934 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,935 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,936 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,941 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,942 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,943 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,943 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,944 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,944 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,945 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,946 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,947 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,948 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,949 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,949 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,950 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,952 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,952 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,953 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,954 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,955 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:21:56,956 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,007 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,008 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,008 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,009 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,009 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,009 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,009 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,010 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,010 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,010 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,010 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,010 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-07-29 21:22:04,011 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
